DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2022,1.51,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IE,2023,1.50,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2012,2.04,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2013,1.93,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2014,1.93,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2015,1.80,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2016,1.74,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2017,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2018,1.71,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2019,1.74,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2020,1.72,,
ESTAT:TPS00199(1.0),01/10/25 23:00:00,A,TOTFERRT,IS,2021,1.82,,
